index,Location_Center_X,Location_Center_Y,Metadata_Site,Metadata_Timepoint,Metadata_Well,track_id,unique_id,unique_time,Location_Center_Y_Zeroed,Location_Center_X_Zeroed,Classifier,flags
132,380.3314607,561.4775281,244,25,B3,3,WB3_S0244_E3,WB3_S0244_E3_T25,-55.99905032,51.06058491,C,None
133,381.4596623,558.3789869,244,26,B3,3,WB3_S0244_E3,WB3_S0244_E3_T26,-59.09759154,52.18878653,C,None
134,382.2434944,556.7992565,244,27,B3,3,WB3_S0244_E3,WB3_S0244_E3_T27,-60.67732191,52.97261866,C,None
135,386.1243043,554.9053803,244,28,B3,3,WB3_S0244_E3,WB3_S0244_E3_T28,-62.57119808,56.8534285,C,None
136,388.4917733,554.3235832,244,29,B3,3,WB3_S0244_E3,WB3_S0244_E3_T29,-63.15299523,59.22089755,C,None
137,390.6819853,553.3731618,244,30,B3,3,WB3_S0244_E3,WB3_S0244_E3_T30,-64.10341665,61.41110953,C,None
138,392.1145455,551.1745455,244,31,B3,3,WB3_S0244_E3,WB3_S0244_E3_T31,-66.30203296,62.84366969,C,None
139,394.9223827,548.7581227,244,32,B3,3,WB3_S0244_E3,WB3_S0244_E3_T32,-68.71845567,65.65150691,C,None
140,400.9478417,546.2140288,244,33,B3,3,WB3_S0244_E3,WB3_S0244_E3_T33,-71.26254963,71.67696596,C,None
141,406.5541284,543.0073394,244,34,B3,3,WB3_S0244_E3,WB3_S0244_E3_T34,-74.46923896,77.28325268,C,None
142,410.0257827,540.6040516,244,35,B3,3,WB3_S0244_E3,WB3_S0244_E3_T35,-76.87252685,80.75490693,C,None
143,414.2794118,540.3216912,244,36,B3,3,WB3_S0244_E3,WB3_S0244_E3_T36,-77.15488723,85.008536,C,None
144,417.8971963,539.6168224,244,37,B3,3,WB3_S0244_E3,WB3_S0244_E3_T37,-77.85975598,88.6263205,C,None
145,423.8186916,538.4616822,244,38,B3,3,WB3_S0244_E3,WB3_S0244_E3_T38,-79.01489617,94.54781583,C,None
146,426.255597,534.9496269,244,39,B3,3,WB3_S0244_E3,WB3_S0244_E3_T39,-82.52695155,96.98472125,C,None
147,432.9925094,530.9850187,244,40,B3,3,WB3_S0244_E3,WB3_S0244_E3_T40,-86.49155968,103.7216336,C,None
148,442.3906542,528.2542056,244,41,B3,3,WB3_S0244_E3,WB3_S0244_E3_T41,-89.2223728,113.1197784,C,None
149,455.5920578,524.4133574,244,42,B3,3,WB3_S0244_E3,WB3_S0244_E3_T42,-93.06322101,126.321182,C,None
150,465.7284644,518.3576779,244,43,B3,3,WB3_S0244_E3,WB3_S0244_E3_T43,-99.11890051,136.4575887,C,None
151,470.0163339,517.4990926,244,44,B3,3,WB3_S0244_E3,WB3_S0244_E3_T44,-99.97748585,140.7454582,C,None
152,476.323475,516.6950092,244,45,B3,3,WB3_S0244_E3,WB3_S0244_E3_T45,-100.7815692,147.0525993,C,None
153,481.6142322,514.9531835,244,46,B3,3,WB3_S0244_E3,WB3_S0244_E3_T46,-102.5233949,152.3433564,C,None
154,490.3016453,514.2340037,244,47,B3,3,WB3_S0244_E3,WB3_S0244_E3_T47,-103.2425748,161.0307696,C,None
155,498.5205224,510.7182836,244,48,B3,3,WB3_S0244_E3,WB3_S0244_E3_T48,-106.7582948,169.2496466,C,None
156,507.6171735,506.4955277,244,49,B3,3,WB3_S0244_E3,WB3_S0244_E3_T49,-110.9810507,178.3462978,C,None
157,512.3086643,505.5505415,244,50,B3,3,WB3_S0244_E3,WB3_S0244_E3_T50,-111.9260369,183.0377885,C,None
158,520.2218115,500.2273567,244,51,B3,3,WB3_S0244_E3,WB3_S0244_E3_T51,-117.2492217,190.9509357,C,None
159,527.5616943,493.160221,244,52,B3,3,WB3_S0244_E3,WB3_S0244_E3_T52,-124.3163574,198.2908185,C,None
160,531.4354839,489.4193548,244,53,B3,3,WB3_S0244_E3,WB3_S0244_E3_T53,-128.0572236,202.1646081,C,None
161,535.7807971,487.1757246,244,54,B3,3,WB3_S0244_E3,WB3_S0244_E3_T54,-130.3008538,206.5099213,C,None
162,438.2316258,708.5412027,244,1,B3,4,WB3_S0244_E4,WB3_S0244_E4_T1,0,0,C,None
163,449.5337838,714.5,244,2,B3,4,WB3_S0244_E4,WB3_S0244_E4_T2,5.958797327,11.30215795,C,None
164,454.5921053,714.8947368,244,3,B3,4,WB3_S0244_E4,WB3_S0244_E4_T3,6.353534169,16.36047943,C,None
165,454.6373626,713.4197802,244,4,B3,4,WB3_S0244_E4,WB3_S0244_E4_T4,4.878577547,16.4057368,C,None
166,456.0961969,712.3870246,244,5,B3,4,WB3_S0244_E4,WB3_S0244_E4_T5,3.845821936,17.86457103,C,None
167,458.0229358,721.7866972,244,6,B3,4,WB3_S0244_E4,WB3_S0244_E4_T6,13.24549458,19.79130994,C,None
168,462.284141,728.3502203,244,7,B3,4,WB3_S0244_E4,WB3_S0244_E4_T7,19.80901759,24.05251513,C,None
169,465.886918,724.5631929,244,8,B3,4,WB3_S0244_E4,WB3_S0244_E4_T8,16.02199023,27.65529212,C,None
170,468.2739726,726.5776256,244,9,B3,4,WB3_S0244_E4,WB3_S0244_E4_T9,18.0364229,30.04234677,C,None
171,468.6321839,730.3678161,244,10,B3,4,WB3_S0244_E4,WB3_S0244_E4_T10,21.82661342,30.40055807,C,None
172,472.5910064,739.7815846,244,11,B3,4,WB3_S0244_E4,WB3_S0244_E4_T11,31.24038191,34.35938059,C,None
173,475.8315335,749.7041037,244,12,B3,4,WB3_S0244_E4,WB3_S0244_E4_T12,41.162901,37.59990764,C,None
174,487.0311111,755.9311111,244,13,B3,4,WB3_S0244_E4,WB3_S0244_E4_T13,47.38990844,48.79948528,C,None
175,498.156044,763.1934066,244,14,B3,4,WB3_S0244_E4,WB3_S0244_E4_T14,54.65220392,59.92441812,C,None
176,504.4288889,765.7288889,244,15,B3,4,WB3_S0244_E4,WB3_S0244_E4_T15,57.18768622,66.19726305,C,None
177,509.8636364,767.2077922,244,16,B3,4,WB3_S0244_E4,WB3_S0244_E4_T16,58.66658954,71.63201053,C,None
178,512.1909871,766.8862661,244,17,B3,4,WB3_S0244_E4,WB3_S0244_E4_T17,58.34506342,73.95936129,C,None
179,513.9848156,765.2646421,244,18,B3,4,WB3_S0244_E4,WB3_S0244_E4_T18,56.72343941,75.75318978,C,None
180,516.4955752,762.1814159,244,19,B3,4,WB3_S0244_E4,WB3_S0244_E4_T19,53.64021326,78.26394939,C,None
181,525.2957111,756.7674944,244,20,B3,4,WB3_S0244_E4,WB3_S0244_E4_T20,48.22629168,87.06408523,C,None
182,528.5424837,757.708061,244,21,B3,4,WB3_S0244_E4,WB3_S0244_E4_T21,49.16685833,90.31085782,C,None
183,533.7729258,753.6855895,244,22,B3,4,WB3_S0244_E4,WB3_S0244_E4_T22,45.14438685,95.54129993,C,None
184,541.627409,742.5610278,244,23,B3,4,WB3_S0244_E4,WB3_S0244_E4_T23,34.01982516,103.3957832,C,None
185,544.008316,728.3929314,244,24,B3,4,WB3_S0244_E4,WB3_S0244_E4_T24,19.85172872,105.7766902,C,None
186,547.6207627,719.3029661,244,25,B3,4,WB3_S0244_E4,WB3_S0244_E4_T25,10.76176343,109.3891369,C,None
187,550.1645299,704.5705128,244,26,B3,4,WB3_S0244_E4,WB3_S0244_E4_T26,-3.970689852,111.9329041,C,None
188,550.372093,700.5137421,244,27,B3,4,WB3_S0244_E4,WB3_S0244_E4_T27,-8.027460601,112.1404672,C,None
189,548.2229299,694.7728238,244,28,B3,4,WB3_S0244_E4,WB3_S0244_E4_T28,-13.76837889,109.9913041,C,None
190,548.2025052,691.8810021,244,29,B3,4,WB3_S0244_E4,WB3_S0244_E4_T29,-16.66020058,109.9708794,C,None
191,545.7765957,686.6765957,244,30,B3,4,WB3_S0244_E4,WB3_S0244_E4_T30,-21.86460693,107.5449699,C,None
192,541.1267894,678.8139059,244,31,B3,4,WB3_S0244_E4,WB3_S0244_E4_T31,-29.72729674,102.8951635,C,None
193,533.6918239,673.8490566,244,32,B3,4,WB3_S0244_E4,WB3_S0244_E4_T32,-34.69214607,95.46019806,C,None
194,528.7219917,667.280083,244,33,B3,4,WB3_S0244_E4,WB3_S0244_E4_T33,-41.26111969,90.49036587,C,None
195,521.1291667,664.0645833,244,34,B3,4,WB3_S0244_E4,WB3_S0244_E4_T34,-44.47661934,82.89754083,C,None
196,520.7947154,662.8292683,244,35,B3,4,WB3_S0244_E4,WB3_S0244_E4_T35,-45.71193438,82.56308961,C,None
197,517.9895616,660.5052192,244,36,B3,4,WB3_S0244_E4,WB3_S0244_E4_T36,-48.03598347,79.75793575,C,None
198,511.2520492,658.1352459,244,37,B3,4,WB3_S0244_E4,WB3_S0244_E4_T37,-50.40595677,73.02042335,C,None
199,509.4297352,652.706721,244,38,B3,4,WB3_S0244_E4,WB3_S0244_E4_T38,-55.8344817,71.1981094,C,None
200,506.2839506,650.2325103,244,39,B3,4,WB3_S0244_E4,WB3_S0244_E4_T39,-58.30869238,68.05232478,C,None
201,503.0897959,649.7959184,244,40,B3,4,WB3_S0244_E4,WB3_S0244_E4_T40,-58.74528431,64.85817008,C,None
202,497.9878788,650.3454545,244,41,B3,4,WB3_S0244_E4,WB3_S0244_E4_T41,-58.19574813,59.75625295,C,None
203,486.0321932,650.9054326,244,42,B3,4,WB3_S0244_E4,WB3_S0244_E4_T42,-57.63577008,47.80056732,C,None
204,472.8485477,657.1908714,244,43,B3,4,WB3_S0244_E4,WB3_S0244_E4_T43,-51.3503313,34.61692188,C,None
205,458.6539235,664.4547284,244,44,B3,4,WB3_S0244_E4,WB3_S0244_E4_T44,-44.0864743,20.42229771,C,None
206,452.1120163,663.4215886,244,45,B3,4,WB3_S0244_E4,WB3_S0244_E4_T45,-45.11961408,13.88039046,C,None
